Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:8008000
1 cleaning:4.1479E-5
1 serializing:0.021066
1 receiving:0.157159
1 wordCount:1.24622E-4
2 cleaning:4.5145E-5
2 serializing:0.022546
2 receiving:0.201803
2 wordCount:1.42125E-4
3 cleaning:4.7478E-5
3 serializing:0.023408
3 receiving:0.23405
3 wordCount:1.66963E-4
4 cleaning:5.015E-5
4 serializing:0.024278
4 receiving:0.256619
4 wordCount:1.83302E-4
5 cleaning:5.2508E-5
5 serializing:0.025069
5 receiving:0.28272
5 wordCount:2.00036E-4
6 cleaning:5.4704E-5
6 serializing:0.025669
6 receiving:0.306335
6 wordCount:2.15533E-4
7 cleaning:5.7781E-5
7 serializing:0.026356
7 receiving:0.33077
7 wordCount:2.36201E-4
8 cleaning:6.3936E-5
8 serializing:0.02692
8 receiving:0.350765
8 wordCount:2.57157E-4
9 cleaning:8.3789E-5
9 serializing:0.027653
9 receiving:0.378337
9 wordCount:2.71744E-4
10 cleaning:1.08133E-4
10 serializing:0.02853
10 receiving:0.40536
10 wordCount:2.89023E-4
11 cleaning:1.36004E-4
11 serializing:0.029462
11 receiving:0.424242
11 wordCount:3.08304E-4
12 cleaning:1.55226E-4
12 serializing:0.030781
12 receiving:0.446746
12 wordCount:3.28096E-4
13 cleaning:1.71605E-4
13 serializing:0.032976
13 receiving:0.469187
13 wordCount:3.51444E-4
14 cleaning:1.87708E-4
14 serializing:0.036757
14 receiving:0.487827
14 wordCount:3.72918E-4
15 cleaning:2.01224E-4
15 serializing:0.042886
15 receiving:0.504417
15 wordCount:3.93192E-4
16 cleaning:2.18931E-4
16 serializing:0.04824
16 receiving:0.521143
16 wordCount:4.13065E-4
17 cleaning:2.34324E-4
17 serializing:0.050772
17 receiving:0.532663
17 wordCount:4.306E-4
18 cleaning:2.55177E-4
18 serializing:0.052332
18 receiving:0.543838
18 wordCount:4.51911E-4
