Response time percentiles [ms]: 
Clean size:28878000
1 cleaning:0.001315078
1 serializing:0.17004
1 receiving:3.733457
1 wordCount:0.003489259
2 cleaning:0.001365583
2 serializing:0.1764
2 receiving:3.903141
2 wordCount:0.003625814
3 cleaning:0.001401691
3 serializing:0.181783
3 receiving:4.013821
3 wordCount:0.003731583
4 cleaning:0.001427083
4 serializing:0.185997
4 receiving:4.101447
4 wordCount:0.003832721
5 cleaning:0.001456294
5 serializing:0.189774
5 receiving:4.168829
5 wordCount:0.003882659
6 cleaning:0.001474879
6 serializing:0.192585
6 receiving:4.268557
6 wordCount:0.003972755
7 cleaning:0.001506127
7 serializing:0.195314
7 receiving:4.37919
7 wordCount:0.00408504
8 cleaning:0.001536966
8 serializing:0.199072
8 receiving:4.467073
8 wordCount:0.004167405
9 cleaning:0.001571559
9 serializing:0.201689
9 receiving:4.551005
9 wordCount:0.004254403
10 cleaning:0.001592109
10 serializing:0.204021
10 receiving:4.596007
10 wordCount:0.004301317
11 cleaning:0.001615731
11 serializing:0.205979
11 receiving:4.640825
11 wordCount:0.004329935
12 cleaning:0.001631443
12 serializing:0.208064
12 receiving:4.690978
12 wordCount:0.004365698
13 cleaning:0.001640429
13 serializing:0.209693
13 receiving:4.748122
13 wordCount:0.004427886
14 cleaning:0.001647888
14 serializing:0.211141
14 receiving:4.792196
14 wordCount:0.004474532
15 cleaning:0.00165696
15 serializing:0.212473
15 receiving:4.841306
15 wordCount:0.00450777
16 cleaning:0.001668774
16 serializing:0.214036
16 receiving:4.891419
16 wordCount:0.004553575
17 cleaning:0.001685758
17 serializing:0.216122
17 receiving:4.943099
17 wordCount:0.004610825
18 cleaning:0.0016997
18 serializing:0.217785
18 receiving:4.998452
18 wordCount:0.004661279
19 cleaning:0.0017094
19 serializing:0.219578
19 receiving:5.05005
19 wordCount:0.004714485
20 cleaning:0.00172123
20 serializing:0.22103
20 receiving:5.118644
20 wordCount:0.004780035
21 cleaning:0.001734842
21 serializing:0.222369
21 receiving:5.173662
21 wordCount:0.00483199
22 cleaning:0.001751752
22 serializing:0.224136
