Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:29743000
1 cleaning:6.88179E-4
1 serializing:0.182645
1 receiving:2.03688
1 wordCount:0.001885177
2 cleaning:7.09747E-4
2 serializing:0.192947
2 receiving:2.107116
2 wordCount:0.001945922
3 cleaning:7.50843E-4
3 serializing:0.204143
3 receiving:2.23229
3 wordCount:0.002064044
4 cleaning:7.88733E-4
4 serializing:0.213765
4 receiving:2.366744
4 wordCount:0.00219922
5 cleaning:8.20297E-4
5 serializing:0.220249
5 receiving:2.414972
5 wordCount:0.002241533
6 cleaning:8.32812E-4
6 serializing:0.230036
6 receiving:2.498888
6 wordCount:0.002322863
7 cleaning:8.82782E-4
7 serializing:0.239042
7 receiving:2.619614
7 wordCount:0.002428906
8 cleaning:9.11786E-4
8 serializing:0.248804
8 receiving:2.730394
8 wordCount:0.002539979
9 cleaning:9.52207E-4
9 serializing:0.2546
9 receiving:2.829301
9 wordCount:0.00264917
10 cleaning:9.83279E-4
10 serializing:0.25882
10 receiving:2.860202
10 wordCount:0.002670535
11 cleaning:9.88187E-4
11 serializing:0.26407
11 receiving:2.894865
11 wordCount:0.002691852
12 cleaning:9.95177E-4
12 serializing:0.269711
12 receiving:2.97264
12 wordCount:0.002754359
13 cleaning:0.001025189
13 serializing:0.275332
13 receiving:3.024638
13 wordCount:0.002820979
14 cleaning:0.001045531
14 serializing:0.280578
14 receiving:3.115785
14 wordCount:0.002923781
15 cleaning:0.001088548
15 serializing:0.28671
15 receiving:3.17035
15 wordCount:0.002964755
16 cleaning:0.00110007
16 serializing:0.292266
16 receiving:3.221445
16 wordCount:0.002999239
17 cleaning:0.001118729
17 serializing:0.297391
17 receiving:3.313889
17 wordCount:0.003107711
18 cleaning:0.001153786
18 serializing:0.302464
18 receiving:3.355981
18 wordCount:0.003138408
19 cleaning:0.001161836
19 serializing:0.307555
19 receiving:3.394197
