Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

Connection Accepted: /127.0.0.1:3000

shutting down
-----
Response time percentiles [ms]: 
Clean size:2000000
1 cleaning:3.75103E-4
1 serializing:0.182567
1 receiving:1.32711
1 wordCount:0.001194011
2 cleaning:3.91121E-4
2 serializing:0.212007
2 receiving:1.595015
2 wordCount:0.001402008
3 cleaning:4.69819E-4
3 serializing:0.235946
3 receiving:1.820731
3 wordCount:0.001652668
4 cleaning:5.23119E-4
4 serializing:0.26302
4 receiving:1.971064
4 wordCount:0.001790459
5 cleaning:5.66192E-4
5 serializing:0.296202
5 receiving:2.184052
5 wordCount:0.001912094
6 cleaning:6.24182E-4
6 serializing:0.343386
6 receiving:2.567862
6 wordCount:0.002257942
7 cleaning:7.77326E-4
7 serializing:0.362801
7 receiving:2.676152
7 wordCount:0.002423743
8 cleaning:7.91553E-4
8 serializing:0.41818
8 receiving:2.790265
8 wordCount:0.002491781
9 cleaning:8.91197E-4
9 serializing:0.495289
9 receiving:3.044288
9 wordCount:0.002737825
10 cleaning:0.001032988
10 serializing:0.507749
10 receiving:3.659065
10 wordCount:0.003319704
11 cleaning:0.001153123
11 serializing:0.520803
11 receiving:3.868907
11 wordCount:0.003613252
12 cleaning:0.001155534
12 serializing:0.527088
